   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:31 - 17.10.06 11:32
                                                                                 
 Ring :   1.2 GeV   300.1 mA -  300.7 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.64048 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.03144  13.03195    0.0034  30003679  72848249     -1346
  13.03103  13.03153    0.0034  29981279  72833949      -281
  13.03061  13.03110    0.0034  29981779  72809949     -1614
  13.03019  13.03066    0.0034  29972679  72817649      -281
  13.02978  13.03023    0.0034  29975379  72830149     -1348
  13.02936  13.02980    0.0034  29979079  72855549      -548
  13.02894  13.02939    0.0034  29973779  72855549     -1081
  13.02853  13.02900    0.0034  29970579  72836049      -814
  13.02811  13.02861    0.0034  29969479  72858949     -1081
  13.02769  13.02821    0.0034  29971879  72872849      -814
  13.02728  13.02781    0.0034  29977779  72870149      -814
  13.02686  13.02740    0.0034  29968179  72862149     -1081
  13.02644  13.02697    0.0034  29972479  72881649      -281
  13.02603  13.02653    0.0034  29961779  72871549     -1614
  13.02561  13.02610    0.0034  29954079  72901349       -14
  13.02519  13.02567    0.0034  29966079  72892849     -1081
  13.02478  13.02526    0.0034  29963679  72910149      -546
  13.02436  13.02484    0.0034  29957779  72876349      -814
  13.02394  13.02444    0.0034  29952679  72888549      -814
  13.02353  13.02402    0.0034  29941479  72892549      -548
  13.02311  13.02361    0.0034  29936179  72893649     -1081
  13.02269  13.02320    0.0034  29954079  72900849       -14
  13.02228  13.02279    0.0034  29944979  72905149     -1348
  13.02186  13.02239    0.0034  29941479  72889949      -281
  13.02144  13.02197    0.0034  29941279  72907749     -1348
  13.02103  13.02155    0.0034  29936479  72902949      -281
  13.02061  13.02112    0.0034  29942079  72915749     -1081
  13.02019  13.02068    0.0034  29935079  72909149      -814
  13.01978  13.02025    0.0034  29927679  72912349      -814
  13.01936  13.01983    0.0034  29922079  72934949     -1081
  13.01894  13.01942    0.0034  29929479  72939249      -814
  13.01853  13.01902    0.0034  29917279  72913649     -1348
  13.01811  13.01863    0.0034  29920179  72934749      -279
  13.01769  13.01824    0.0034  29927879  72933649     -1614
  13.01728  13.01784    0.0034  29923879  72958149      -281
  13.01686  13.01742    0.0034  29920179  72951249     -1081
  13.01644  13.01700    0.0034  29911379  72960349      -814
  13.01603  13.01657    0.0034  29904679  72934949      -814
  13.01561  13.01613    0.0034  29917479  72980049     -1081
  13.01519  13.01570    0.0034  29915679  72967549      -814
  13.01478  13.01528    0.0034  29915879  72981649     -1081
  13.01436  13.01487    0.0034  29904979  72944349      -548
  13.01394  13.01446    0.0034  29890579  72962949     -1348
  13.01353  13.01405    0.0034  29903879  72971749      -548
  13.01311  13.01364    0.0034  29883879  72982149     -1348
  13.01269  13.01323    0.0034  29885279  72956349      -548
  13.01228  13.01282    0.0034  29884479  72971549     -1348
  13.01186  13.01241    0.0034  29879879  72959749      -814
  13.01144  13.01200    0.0034  29889779  73011549      -813
  13.01103  13.01158    0.0034  29885279  72980849     -1081
  13.01061  13.01115    0.0034  29862279  72980049      -814
  13.01019  13.01071    0.0034  29861779  72973149     -1348
  13.00978  13.01028    0.0034  29866279  72982449      -548
  13.00936  13.00986    0.0034  29872179  73005949     -1614
  13.00894  13.00944    0.0034  29859379  72993949      -548
  13.00853  13.00905    0.0034  29853279  72974149     -1348
  13.00811  13.00865    0.0034  29854279  73013949     -1081
  13.00769  13.00825    0.0034  29864479  73019249     -1081
  13.00728  13.00786    0.0034  29868679  73020349     -1081
  13.00686  13.00744    0.0034  29850879  73007749     -1081
  13.00644  13.00701    0.0034  29854079  73004849     -1081
  13.00603  13.00658    0.0034  29861779  73034749      -814
  13.00561  13.00614    0.0034  29854579  73064849     -1348
  13.00519  13.00571    0.0034  29846579  73036349      -548
  13.00478  13.00529    0.0034  29859079  73067049     -1346
  13.00436  13.00488    0.0034  29841479  73040849      -814
  13.00394  13.00446    0.0034  29769279  72886749     -1348
  13.00353  13.00405    0.0034  29802879  72957149      -814
  13.00311  13.00364    0.0034  29831079  73011249      -814
  13.00269  13.00323    0.0034  29836479  73033349     -1081
  13.00228  13.00282    0.0034  29830879  73063549      -814
  13.00186  13.00240    0.0034  29829779  73070149     -1614
  13.00144  13.00199    0.0034  29823379  73057149      -548
  13.00103  13.00157    0.0034  29827879  73071549     -1614
  13.00061  13.00114    0.0034  29826279  73073149      -548
  13.00019  13.00070    0.0034  29816679  73080549     -1614
  12.99978  13.00027    0.0034  29830879  73088549      -814
  12.99936  12.99985    0.0034  29822279  73069149     -1081
  12.99894  12.99944    0.0034  29815079  73077649     -1081
  12.99853  12.99904    0.0034  29811879  73060549      -814
  12.99811  12.99865    0.0034  29821479  73103249     -1614
  12.99769  12.99826    0.0034  29818579  73112349      -546
  12.99728  12.99785    0.0034  29804479  73106949     -1614
  12.99686  12.99744    0.0034  29807679  73090449      -548
  12.99644  12.99701    0.0034  29804679  73141149     -1348
  12.99603  12.99658    0.0034  29812979  73148049      -814
  12.99561  12.99615    0.0034  29807679  73127249      -814
  12.99519  12.99572    0.0034  29796479  73118949     -1081
  12.99478  12.99530    0.0034  29792979  73124549      -548
  12.99436  12.99489    0.0034  29790079  73145949     -1348
  12.99394  12.99447    0.0034  29794579  73133349      -548
  12.99353  12.99406    0.0034  29775079  73134449     -1081
  12.99311  12.99365    0.0034  29782279  73154149       -14
  12.99269  12.99324    0.0034  29783079  73138749     -1348
  12.99228  12.99283    0.0034  29771879  73136049      -281
  12.99186  12.99241    0.0034  29776979  73143749     -1081
  12.99144  12.99200    0.0034  29780179  73143249      -548
  12.99103  12.99158    0.0034  29777979  73135549      -546
  12.99061  12.99115    0.0034  29767079  73140549     -1081
  12.99019  12.99072    0.0034  29763379  73152549      -548
  12.98978  12.99028    0.0034  29754579  73150449     -1081
  12.98936  12.98986    0.0034  29763379  73149349       -14
  12.98894  12.98944    0.0034  29750879  73117349     -1348
  12.98853  12.98905    0.0034  29736979  73135549      -281
  12.98811  12.98866    0.0034  29753479  73143249     -1081
  12.98769  12.98827    0.0034  29739679  73134949      -281
