   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:36 - 17.10.06 11:36
                                                                                 
 Ring :   1.2 GeV   300.7 mA -  300.5 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.64017 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.00019  13.00069    0.0034  29775879  50936549     -1881
  12.99978  13.00026    0.0034  29780179  50937349      -814
  12.99936  12.99983    0.0034  29782279  50950949     -1614
  12.99894  12.99943    0.0034  29780179  50973349     -1614
  12.99853  12.99903    0.0034  29764679  50939549     -1348
  12.99811  12.99864    0.0034  29775079  50959749     -1613
  12.99769  12.99825    0.0034  29767879  50965949      -814
  12.99728  12.99785    0.0034  29786079  50978749     -2148
  12.99686  12.99743    0.0034  29775079  50975749      -548
  12.99644  12.99701    0.0034  29753479  50965649     -2148
  12.99603  12.99657    0.0034  29747679  50964849      -814
  12.99561  12.99614    0.0034  29763679  50998749     -1614
  12.99519  12.99571    0.0034  29764679  50998749     -1081
  12.99478  12.99529    0.0034  29747079  50989949     -1081
  12.99436  12.99488    0.0034  29751879  50976849     -1614
  12.99394  12.99447    0.0034  29746079  50992849     -1081
  12.99353  12.99405    0.0034  29742579  50982949     -1614
  12.99311  12.99364    0.0034  29746879  51016049     -1081
  12.99269  12.99323    0.0034  29729279  50982749     -1881
  12.99228  12.99282    0.0034  29727379  50992849      -548
  12.99186  12.99241    0.0034  29730879  51009649     -1881
  12.99144  12.99200    0.0034  29740379  51026749      -546
  12.99103  12.99157    0.0034  29722079  51015249     -1348
  12.99061  12.99114    0.0034  29701779  51010149     -1348
  12.99019  12.99070    0.0034  29711879  51014149     -1081
  12.98978  12.99027    0.0034  29701779  51024849     -1348
  12.98936  12.98984    0.0034  29706879  51018949      -548
  12.98894  12.98944    0.0034  29695079  51018749     -1881
  12.98853  12.98904    0.0034  29687679  51017949      -281
  12.98811  12.98865    0.0034  29701479  51028349     -1881
  12.98769  12.98826    0.0034  29693479  51026449      -814
  12.98728  12.98786    0.0034  29687379  51019249     -1348
  12.98686  12.98744    0.0034  29678579  51012049     -1081
  12.98644  12.98702    0.0034  29671679  51015749     -1081
  12.98603  12.98659    0.0034  29675879  51020549     -1348
  12.98561  12.98615    0.0034  29678079  51042749      -548
  12.98519  12.98572    0.0034  29667679  51029149     -1614
  12.98478  12.98530    0.0034  29685179  51034949      -546
  12.98436  12.98489    0.0034  29658879  51053349     -1614
  12.98394  12.98448    0.0034  29664979  51049149      -548
  12.98353  12.98407    0.0034  29660179  51055749     -1614
  12.98311  12.98366    0.0034  29667079  51061949      -814
  12.98269  12.98325    0.0034  29658579  51047549     -1348
  12.98228  12.98284    0.0034  29660479  51072049     -1081
  12.98186  12.98243    0.0034  29651679  51061949     -1081
  12.98144  12.98201    0.0034  29659879  51069649     -1348
  12.98103  12.98159    0.0034  29649279  51076349      -814
  12.98061  12.98116    0.0034  29649279  51082449     -1614
  12.98019  12.98072    0.0034  29650579  51073649      -548
  12.97978  12.98028    0.0034  29642879  51087549     -1881
  12.97936  12.97986    0.0034  29648979  51107249      -814
  12.97894  12.97944    0.0034  29645779  51109949     -1348
  12.97853  12.97905    0.0034  29652179  51107749     -1081
  12.97811  12.97866    0.0034  29645979  51121149     -1346
  12.97769  12.97827    0.0034  29649779  51124349     -1081
  12.97728  12.97786    0.0034  29656179  51118949     -1081
  12.97686  12.97744    0.0034  29641279  51122749     -1614
  12.97644  12.97702    0.0034  29633279  51130749      -548
  12.97603  12.97659    0.0034  29627079  51151249     -1881
  12.97561  12.97615    0.0034  29649479  51166149      -548
  12.97519  12.97572    0.0034  29642079  51157649     -1881
  12.97478  12.97530    0.0034  29632979  51162149      -814
  12.97436  12.97489    0.0034  29621779  51161349     -1614
  12.97394  12.97448    0.0034  29636679  51177649     -1081
  12.97353  12.97407    0.0034  29645279  51199549     -1081
